objectName,English,French
FrmSettings,Settings,Réglages
FrmEditFileData,Edit Data,Modifier les données
FrmImportGpx,Import GPX/JSON Data,Importer des données GPX/JSON
FrmPasteWhat,Paste…What?,Coller… Quoi ?
