objectName,English,French
tpg_Application,Application,Repertoire par défaut
tpg_FileOptions,File Options,Application Option de fichier
tpg_Exif,Exif,Exif
tpg_Map,Map,Map
tpg_Location,Location,Localisation
tpg_DateTime,Date & Time,Date et heure
tpg_CustomRules,Custom Rules,
tpg_CustomCityLogic,Custom City Assignment Logic,
