objectName,English,French
pbx_Browse_Startup_Folder,Browse for Startup Folder,Rechercher le dossier de démarrage
pbx_importOneFile,Browse for Tracks File,Rechercher un fichier de tracking
pbx_importFromAnotherFolder,Browse for Tracks Folder,Parcourir le dossier des trackings
pbx_imagePreviewEmptyText,No image to show,Aucune image à montrer
pbx_imagePreviewCouldNotRetrieve,Could not retrieve/generate image preview,Impossible de recharger/générer la previsualisation de photo
